component,n,m,status,objective,elapsed_seconds,note
120,3,3,Optimal,1,0.06587658399999441,
121,3,2,Optimal,2,0.05884108399999377,
122,3,3,Optimal,1,0.061222250000000145,
123,3,2,Optimal,2,0.06161512500000299,
124,3,3,Optimal,1,0.06563120900000285,
125,3,3,Optimal,1,0.07308887499999628,
126,3,2,Optimal,2,0.06042537500000833,
127,3,2,Optimal,2,0.07071612500000413,
128,3,3,Optimal,1,0.05219674999999313,
129,3,3,Optimal,1,0.059016416000005734,
130,3,3,Optimal,1,0.06171937500000979,
131,3,3,Optimal,1,0.05815387500000213,
132,3,2,Optimal,2,0.05494970800000942,
133,3,2,Optimal,2,0.05829958300000726,
134,3,2,Optimal,2,0.07594950000000722,
135,3,3,Optimal,1,0.06837266600000191,
136,3,2,Optimal,2,0.057577709000000254,
137,3,3,Optimal,1,0.06191808399999843,
138,3,3,Optimal,1,0.06517691599999864,
139,3,2,Optimal,2,0.05793124999999577,
140,3,2,Optimal,2,0.06970454199999665,
141,3,2,Optimal,2,0.06309570800000586,
142,3,2,Optimal,2,0.05817412499999364,
143,3,3,Optimal,1,0.06663783300000148,
144,3,3,Optimal,1,0.06247095799999158,
145,3,2,Optimal,2,0.06241245900000081,
146,3,3,Optimal,1,0.0646566249999978,
147,3,3,Optimal,1,0.061940750000005096,
148,3,2,Optimal,2,0.06103954099999953,
149,3,3,Optimal,1,0.0610854589999974,
150,3,3,Optimal,1,0.06470829199999173,
151,3,3,Optimal,1,0.06522187499999177,
152,3,3,Optimal,1,0.0600982499999958,
153,3,2,Optimal,2,0.058709792000001926,
154,3,3,Optimal,1,0.06049708300000134,
155,3,3,Optimal,1,0.06455395800000474,
156,3,3,Optimal,1,0.0722438330000017,
157,3,3,Optimal,1,0.06571208299999398,
158,3,3,Optimal,1,0.08718404200000407,
159,3,3,Optimal,1,0.06519795899998826,
160,3,3,Optimal,1,0.06631495899999607,
161,3,3,Optimal,1,0.06021400000000199,
162,3,3,Optimal,1,0.08086645900000633,
163,3,3,Optimal,1,0.06346095900001103,
