profile,phase,graph_family,graph_id,n,m,d_input,d_eff,seed,solver,time_limit,random_trials,greedy_random_mean,greedy_random_std,greedy_random_best,greedy_min_degree,warm_start_size,ip_status,ip_incumbent,ip_upper_bound,ip_gap,ip_runtime_sec,threshold_logd,threshold_log1pd,threshold_2logd,first_moment_threshold,found_beyond_logd,proved_beyond_logd,proved_optimal,solution_valid,error
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed17,100,1005.0,20.0,20.1,17,CBC,300.0,100,14.29,1.4859272519136992,18.0,18.0,18.0,Optimal,20.0,20.0,0.0,14.826497417000011,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed18,100,977.0,20.0,19.54,18,CBC,300.0,100,14.85,1.2421470496399745,19.0,19.0,19.0,Optimal,20.0,20.0,0.0,15.09497995800001,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed19,100,1039.0,20.0,20.78,19,CBC,300.0,100,14.29,1.3506077943435002,17.0,18.0,18.0,Optimal,19.0,19.0,0.0,16.443102792000047,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed0,200,1961.0,20.0,19.61,0,CBC,300.0,100,30.2,2.1033883198882757,36.0,38.0,38.0,TimeLimit,39.0,47.602,0.06,300.121792375,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed1,200,1978.0,20.0,19.78,1,CBC,300.0,100,29.61,1.874307953093702,35.0,37.0,37.0,TimeLimit,39.0,48.279,0.06,300.145679416,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed2,200,2002.0,20.0,20.02,2,CBC,300.0,100,29.83,2.0988452813753367,36.0,38.0,38.0,TimeLimit,39.0,48.72399999999999,0.06,300.1419556249999,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed3,200,2003.0,20.0,20.03,3,CBC,300.0,100,29.69,2.241459661502168,35.0,37.0,37.0,TimeLimit,38.0,49.258999999999986,0.07,300.171110041,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed4,200,1947.0,20.0,19.47,4,CBC,300.0,100,29.72,1.9544303466222528,35.0,36.0,36.0,TimeLimit,39.0,48.166,0.06,300.94812087499986,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed5,200,2052.0,20.0,20.52,5,CBC,300.0,100,29.11,2.3089417751888246,36.0,38.0,38.0,TimeLimit,40.0,47.352,0.05,300.23927675000004,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed6,200,1988.0,20.0,19.88,6,CBC,300.0,100,30.04,2.1030041042818395,36.0,40.0,40.0,TimeLimit,40.0,50.638000000000005,0.07,300.1478672920002,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed7,200,2029.0,20.0,20.29,7,CBC,300.0,100,29.0,2.197335392761612,35.0,36.0,36.0,TimeLimit,37.0,49.19900000000001,0.08,300.18563570800006,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed8,200,2020.0,20.0,20.2,8,CBC,300.0,100,29.49,1.946221410266,36.0,37.0,37.0,TimeLimit,40.0,48.56200000000001,0.06,300.90808741699993,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed9,200,1994.0,20.0,19.94,9,CBC,300.0,100,29.04,2.178499159021776,36.0,39.0,39.0,TimeLimit,40.0,48.083,0.05,300.9646632080003,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed10,200,1988.0,20.0,19.88,10,CBC,300.0,100,29.68,2.088351532001287,37.0,38.0,38.0,TimeLimit,42.0,59.696,0.13,300.1752038750001,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed11,200,1989.0,20.0,19.89,11,CBC,300.0,100,30.14,2.0598126814903055,37.0,39.0,39.0,TimeLimit,40.0,50.84700000000001,0.07,300.162703042,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed12,200,1979.0,20.0,19.79,12,CBC,300.0,100,28.85,1.783057186209385,33.0,37.0,37.0,TimeLimit,38.0,59.636,0.15,301.09419062499956,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed13,200,2015.0,20.0,20.15,13,CBC,300.0,100,29.16,1.8679649165048384,33.0,37.0,37.0,TimeLimit,38.0,50.504999999999995,0.08,301.0672152090001,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed14,200,2004.0,20.0,20.04,14,CBC,300.0,100,29.58,1.990786860322401,34.0,35.0,35.0,TimeLimit,38.0,49.53800000000001,0.08,301.1329851669998,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed15,200,1881.0,20.0,18.81,15,CBC,300.0,100,32.02,2.597512407491195,38.0,44.0,44.0,TimeLimit,45.0,52.108,0.05,300.9990249170005,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed16,200,1941.0,20.0,19.41,16,CBC,300.0,100,30.7,1.6966991126265962,35.0,39.0,39.0,TimeLimit,40.0,50.256,0.07,300.9891123339994,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed17,200,1978.0,20.0,19.78,17,CBC,300.0,100,29.73,2.2286246154899385,36.0,37.0,37.0,TimeLimit,40.0,47.28299999999999,0.05,300.9360423340004,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed18,200,1995.0,20.0,19.95,18,CBC,300.0,100,29.33,2.000277758490333,34.0,37.0,37.0,TimeLimit,37.0,49.918000000000006,0.09,300.95641441600037,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed19,200,2029.0,20.0,20.29,19,CBC,300.0,100,29.08,1.9729483653976485,34.0,36.0,36.0,TimeLimit,36.0,49.400000000000006,0.09,300.1780919160001,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed0,500,4930.0,20.0,19.72,0,CBC,300.0,100,75.89,3.090863041843547,84.0,96.0,96.0,TimeLimit,96.0,161.72000000000003,0.19,300.22226862499974,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed1,500,4959.0,20.0,19.836,1,CBC,300.0,100,74.72,3.1784628773396526,83.0,96.0,96.0,TimeLimit,96.0,158.211,0.18,301.20083841700034,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed2,500,4990.0,20.0,19.96,2,CBC,300.0,100,74.97,3.4595936002351313,86.0,95.0,95.0,TimeLimit,95.0,157.49599999999998,0.18,300.2236866249996,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed3,500,5032.0,20.0,20.128,3,CBC,300.0,100,75.01,3.658379063702581,86.0,96.0,96.0,TimeLimit,96.0,165.69,0.21,300.18308170899945,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
