n,attempted,runs,errors,optimal,no_certificate,random_ratio_mean,random_ratio_sd,min_degree_ratio_mean,incumbent_ratio_mean,upper_bound_ratio_mean,gap_ratio_mean,runtime_sec_mean,log1p_ratio,first_moment_ratio
100,20,20,0,20,0,0.144165,0.0028346121984831425,0.183,0.199,0.199,0.0,14.333220464600004,0.15222612188617116,0.23299594713906768
200,20,20,0,0,20,0.14850000000000002,0.0035975137613576866,0.18875,0.19625,0.25126275,0.05501275,300.5832586271,0.15222612188617116,0.23299594713906768
500,20,20,0,0,20,0.15076399999999998,0.0018211112859431388,0.1924,0.1924,0.3218756,0.1294756,290.68146231875,0.15222612188617116,0.23299594713906768
1000,20,20,0,0,20,0.1515335,0.0009174752255367383,0.1931,0.1931,0.3551607,0.1620607,161.22310178954996,0.15222612188617116,0.23299594713906768
1500,10,10,0,0,10,0.15149266666666666,0.0007850608217374941,0.19553333333333334,0.19553333333333334,0.3677968,0.17226346666666667,599.5972920876,0.15222612188617116,0.23299594713906768
2000,10,10,0,0,10,0.1519145,0.0008555681997622717,0.19645,0.19645,0.37601025,0.17956025,596.8772058625,0.15222612188617116,0.23299594713906768
3000,10,10,0,0,10,0.15213000000000002,0.0008905567685581118,0.19529999999999997,0.19529999999999997,0.40002926666666666,0.2047292666666667,403.54252536260066,0.15222612188617116,0.23299594713906768
5000,5,5,0,0,5,0.15216760000000001,0.000726059777153373,0.1958,0.1958,0.42934436,0.23354436,596.2608627665992,0.15222612188617116,0.23299594713906768
